	ds	y
339	2017-12-06	17218.6
340	2017-12-07	17345.18
341	2017-12-08	21006.55
342	2017-12-09	34687.74
343	2017-12-10	9292.98
344	2017-12-11	15822.65
345	2017-12-12	18425.81
346	2017-12-13	17803.55
347	2017-12-14	13630.32
348	2017-12-15	15659.56
349	2017-12-16	34190.11
350	2017-12-17	8634.01
351	2017-12-18	17927.38
352	2017-12-19	17489.77
353	2017-12-20	30603.3
354	2017-12-21	19553.37
355	2017-12-22	21244.98
356	2017-12-23	29671.03
357	2017-12-24	5285.3
358	2017-12-25	8234.985861620995
359	2017-12-26	23020.7
360	2017-12-27	21521.12
361	2017-12-28	23587.06
362	2017-12-29	22953.44
363	2017-12-30	23237.98
364	2017-12-31	6047.781228617608
